,TRACT,hurs,time,ppt,tmax,tmean,tmin,twbs
3794,77379,77.64061532179478,2026-05-25,12.289491956924337,30.14216805615572,25.29779305500069,20.45337300055623,22.275229208620686
3795,77379,74.52699813990478,2026-06-01,3.825114821449168,31.492970413079153,26.250173527360175,21.0073291964037,22.697694277300045
3796,77379,79.14911610241127,2026-06-08,18.503991897631288,31.488749425473586,27.37210010058277,23.25541316025425,24.46338215260323
3797,77379,74.26295293973365,2026-06-15,1.621255091522385,33.79749081892774,29.417673711233,25.03780466971623,25.70449701851457
3798,77379,82.58155760612195,2026-06-22,15.141541987299352,31.772521776850603,27.88829436813267,24.004004150644157,25.448900493458215
3799,77379,68.78936733494139,2026-06-29,0.0,34.99158373844102,30.195697335063297,25.39982321888559,25.58672619987016
3808,77381,69.46292297160201,2026-01-05,0.0,22.52391484561373,14.54601953428384,6.568118081938725,11.168795080535098
3809,77381,76.85880216223794,2026-01-12,2.059237238241814,23.609931669246198,17.8306401660271,12.051318570899902,15.224618034241175
3810,77381,51.81554998632555,2026-01-19,0.425034864488741,16.555683578615692,9.758758793507868,2.961755893654882,5.11575467729941
3811,77381,84.90011874738958,2026-01-26,9.056620103876696,14.880209107006294,10.24507627942174,5.609869871405505,8.766254534623528
3812,77381,61.25617557686641,2026-02-02,0.0,11.659359927433051,4.505295000816857,-2.648803829020089,1.181597759239322
3813,77381,67.73244281218831,2026-02-09,3.353759718896323,22.58120625746465,13.947779983910916,5.314128003951847,10.369997158783708
3814,77381,77.86760613115085,2026-02-16,5.618288969004625,24.931896039764425,18.66465198528961,12.397224856316178,15.975072901162694
3815,77381,69.17540708052555,2026-02-23,0.0,24.699299615330055,18.243879035247993,11.788658235810274,14.719042927120045
3816,77381,63.780107498677154,2026-03-02,0.0,25.846009640152822,17.931843769987193,10.017575237361113,13.68155301691533
3817,77381,75.3744222727847,2026-03-09,4.038066468606893,27.92643419459246,23.605728700791218,19.28539832238056,20.303329415277116
3818,77381,68.70150080592441,2026-03-16,3.701796265041911,26.89800820547309,19.328408633414895,11.75878420820419,15.564877438181721
3819,77381,57.00990579731163,2026-03-23,0.0,24.560300421490208,16.589824803842678,8.619398500796615,11.877212260362285
3820,77381,66.48123371177687,2026-03-30,0.0,28.743697632791946,21.941909484148745,15.140029357054843,17.64680206243194
3821,77381,73.28266283257432,2026-04-06,5.086739092198641,27.225158958237998,22.72217636924326,18.219168549788105,19.259964336020154
3822,77381,70.83426836771568,2026-04-13,6.167060949452054,26.13019719353688,20.749528145944453,15.36875350953402,17.16118702172546
3823,77381,72.47384698821527,2026-04-20,1.951482833232272,28.313579773425918,22.926837355557062,17.540188214746728,19.364075812652437
